FileName	sample
L01_sample_T	Tumor
L02_sample_T	Tumor
L03_sample_T	Tumor
L04_sample_T	Tumor
L05_sample_T	Tumor
L06_sample_T	Tumor
L07_sample_T	Tumor
L08_sample_T	Tumor
L09_sample_T	Tumor
L10_sample_T	Tumor
L11_sample_T	Tumor
L12_sample_T	Tumor
L13_sample_T	Tumor
L14_sample_T	Tumor
L15_sample_T	Tumor
L16_sample_T	Tumor
L17_sample_T	Tumor
L18_sample_T	Tumor
L19_sample_T	Tumor
L20_sample_T	Tumor
L21_sample_T	Tumor
L22_sample_T	Tumor
L23_sample_T	Tumor
L24_sample_T	Tumor
L25_sample_T	Tumor
L26_sample_T	Tumor
L27_sample_T	Tumor
L28_sample_T	Tumor
L29_sample_T	Tumor
L30_sample_T	Tumor
L31_sample_T	Tumor
L32_sample_T	Tumor
L33_sample_T	Tumor
L34_sample_T	Tumor
L35_sample_T	Tumor
L36_sample_T	Tumor
L37_sample_T	Tumor
L38_sample_T	Tumor
L39_sample_T	Tumor
L40_sample_T	Tumor
L41_sample_T	Tumor
L42_sample_T	Tumor
L43_sample_T	Tumor
L44_sample_T	Tumor
L45_sample_T	Tumor
L46_sample_T	Tumor
L47_sample_T	Tumor
L48_sample_T	Tumor
L49_sample_T	Tumor
L50_sample_T	Tumor
L51_sample_T	Tumor
L52_sample_T	Tumor
L53_sample_T	Tumor
L54_sample_T	Tumor
L55_sample_T	Tumor
L56_sample_T	Tumor
L57_sample_T	Tumor
L58_sample_T	Tumor
L59_sample_T	Tumor
L60_sample_T	Tumor
L61_sample_T	Tumor
L62_sample_T	Tumor
L63_sample_T	Tumor
L64_sample_T	Tumor
L65_sample_T	Tumor
L01_sample_N	Control
L02_sample_N	Control
L03_sample_N	Control
L04_sample_N	Control
L05_sample_N	Control
L06_sample_N	Control
L07_sample_N	Control
L08_sample_N	Control
L09_sample_N	Control
L10_sample_N	Control
L11_sample_N	Control
L12_sample_N	Control
L13_sample_N	Control
L14_sample_N	Control
L15_sample_N	Control
L16_sample_N	Control
L17_sample_N	Control
L18_sample_N	Control
L19_sample_N	Control
L20_sample_N	Control
L21_sample_N	Control
L22_sample_N	Control
L23_sample_N	Control
L24_sample_N	Control
L25_sample_N	Control
L26_sample_N	Control
L27_sample_N	Control
L28_sample_N	Control
L29_sample_N	Control
L30_sample_N	Control
L31_sample_N	Control
L32_sample_N	Control
L33_sample_N	Control
L34_sample_N	Control
L35_sample_N	Control
L36_sample_N	Control
L37_sample_N	Control
L38_sample_N	Control
L39_sample_N	Control
L40_sample_N	Control
L41_sample_N	Control
L42_sample_N	Control
L43_sample_N	Control
L44_sample_N	Control
L45_sample_N	Control
L46_sample_N	Control
L47_sample_N	Control
L48_sample_N	Control
L49_sample_N	Control
L50_sample_N	Control
L51_sample_N	Control
L52_sample_N	Control
L53_sample_N	Control
L54_sample_N	Control
L55_sample_N	Control
L56_sample_N	Control
L57_sample_N	Control
L58_sample_N	Control
L59_sample_N	Control
L60_sample_N	Control
L61_sample_N	Control
L62_sample_N	Control
L63_sample_N	Control
L64_sample_N	Control
L65_sample_N	Control
