"Gene","Accuracy","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FCN2",0.946153846153846,391.991092781288,-5.00126496130986,0.362078770594041,-13.812643456297,2.13838150006123e-43,2.38906560822225e-40
"ANGPTL6",0.946153846153846,135.364127481641,-3.14428816692138,0.215966334804323,-14.5591588141285,5.10824997798938e-48,1.64871605956262e-44
"CXCL14",0.938461538461538,408.641962482152,-4.51615021148001,0.422395864008867,-10.691748182897,1.11253909580275e-26,7.10264519887433e-25
"GDF2",0.938461538461538,140.011855801557,-5.55977223455092,0.498507929643318,-11.1528260714507,6.93675945514499e-29,6.45830091836704e-27
"CLEC4G",0.938461538461538,427.951132945747,-5.55066913659915,0.406596122430558,-13.6515545288977,1.97617459558205e-42,1.85173934362798e-39
"ADRA2B",0.938461538461538,68.3421061276187,-2.84134379552503,0.203941019680435,-13.9321839224756,4.03816207212605e-44,5.1000231248312e-41
"NTF3",0.938461538461538,52.8907454808723,-3.90114428862976,0.275926418600185,-14.1383500297682,2.20391314411523e-45,3.28666334385818e-42
"CFP",0.938461538461538,223.92069643882,-3.58902275441308,0.208992185244301,-17.1729997952684,4.22983447817244e-66,6.14341159609765e-62
"CETP",0.938461538461538,175.707991132326,-2.80508366037034,0.2093993438413,-13.395856973154,6.39337902016062e-41,4.52963106774697e-38
"VIPR1",0.938461538461538,267.663289019941,-3.94979686573091,0.272497755496285,-14.4947867865457,1.30707609835917e-47,3.451631500467e-44
"TTC36",0.930769230769231,81.7518220977694,-3.96188159113662,0.310450513590015,-12.7617169813052,2.68222971815436e-37,1.01186245263569e-34
"ECM1",0.930769230769231,507.402547120911,-3.08437343990909,0.221132167481414,-13.9480993427532,3.23101459691005e-44,4.26611418232015e-41
"CHST4",0.930769230769231,116.782223662139,-4.40452468963667,0.375910252378412,-11.7169581350041,1.04351983866002e-31,1.45731559006712e-29
"PTH1R",0.930769230769231,262.288521616004,-3.65508232164713,0.24826467696236,-14.7225226172682,4.62095831075948e-49,2.23715995018236e-45
"LYVE1",0.930769230769231,309.306796692193,-3.47704628799043,0.239663412155975,-14.5080396574156,1.07756287048724e-47,3.13010462619134e-44
"ASS1",0.930769230769231,21195.8580325301,-2.73196249314299,0.193519859103574,-14.1172203503973,2.97496133116352e-45,4.11507984512562e-42
"COLEC10",0.930769230769231,261.763045117452,-4.63719905790411,0.341085941258101,-13.595397807367,4.26435741134961e-42,3.87097044015261e-39
"MT1G",0.930769230769231,10740.9583344514,-3.98536424384344,0.374801218932968,-10.6332744999856,2.08655160587805e-26,1.29508869759713e-24
"DNASE1L3",0.923076923076923,828.068152389342,-3.19310096405168,0.247683459501158,-12.89186193734,5.00213542586119e-38,2.04650746268191e-35
"FCN3",0.923076923076923,956.265061135181,-4.29994632897741,0.354032975186211,-12.1456096758099,6.05297044774497e-34,1.30241989308219e-31
"RSPO3",0.923076923076923,73.4831626732439,-3.25247704693038,0.407891588624627,-7.97387623975634,1.53773531802819e-15,2.2996495758232e-14
"GPM6A",0.923076923076923,113.79613178714,-3.30717119234508,0.349131092764713,-9.47257709462689,2.73023116083394e-21,8.53689502259466e-20
"CLEC4M",0.923076923076923,295.18866637211,-4.93432065112609,0.528233059141032,-9.34118106721656,9.5265428673576e-21,2.77281580371747e-19
"LRAT",0.923076923076923,148.204506629502,-2.79356407527728,0.206580685133944,-13.5228715766238,1.1461305986522e-41,8.99805449449976e-39
"SFRP1",0.915384615384615,63.6833982244319,-2.58019402392315,0.332965547939732,-7.74913212459498,9.25227112608355e-15,1.24541228762963e-13
"PAMR1",0.915384615384615,106.54862471395,-2.56536078247244,0.231363493097256,-11.088010247987,1.43442860808571e-28,1.2940149753936e-26
"ADAMTS13",0.915384615384615,456.227493927726,-2.606374906422,0.177602886072138,-14.6752959034874,9.28098011947251e-49,3.85134157872054e-45
"OIT3",0.915384615384615,686.67337719098,-2.13938165082181,0.165829247340618,-12.9011117467563,4.43650099947205e-38,1.8677026236618e-35
"TBXA2R",0.915384615384615,61.8919239312952,-2.15094713093547,0.183937363329061,-11.6939108618593,1.36932648117779e-31,1.86510507781896e-29
"STAB2",0.915384615384615,155.683899666884,-3.63296546370299,0.277156141931567,-13.1080099411978,2.96270818053941e-39,1.62378768355299e-36
"CYP1A2",0.915384615384615,4096.13152061746,-5.40835857839095,0.430885643121176,-12.5517261127913,3.88938068997551e-36,1.18924979244641e-33
"CTD-2337J16.1",0.915384615384615,33.1647804651879,-2.57109787049955,0.187328316386998,-13.7250892982349,7.18405673542021e-43,6.95608266834954e-40
"MT2A",0.915384615384615,19311.7726342499,-3.16588166314786,0.270491614678977,-11.7041767335567,1.21331101417123e-31,1.67034399713962e-29
"BMPER",0.915384615384615,93.7828219400191,-3.7457659469074,0.311451635636886,-12.0267981230784,2.56932933934835e-33,4.84635575645396e-31
"HAND2",0.915384615384615,70.2234609434426,-3.88444916096009,0.381240015660705,-10.1889859442697,2.22068437131828e-24,1.03210303388886e-22
"COL25A1",0.915384615384615,19.1110039441735,-2.91392879855658,0.296053720451772,-9.84256774111802,7.38027252284145e-23,2.78418384731816e-21
"SFRP5",0.915384615384615,294.326662768879,-3.80280354310876,0.470203904028924,-8.08756267339463,6.08705110057092e-16,9.6043813345673e-15
